epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,221.405,1.11989,1.75258,0.94128,0.05398,0.16071,0.14252,0.09975,1.36407,3.73009,1.02365,0.000304476,0.000304476,0.000304476
43,226.747,1.27235,1.85912,0.92924,0.01365,0.31379,0.1404,0.09922,1.35969,3.69387,1.02279,0.000306705,0.000306705,0.000306705
44,232.031,1.21086,1.6427,0.95328,0.01365,0.31379,0.1404,0.09922,1.35969,3.69387,1.02279,0.000308686,0.000308686,0.000308686
45,237.329,1.17147,1.75301,0.94966,0.09273,0.16071,0.14925,0.10674,1.37435,3.64328,1.03114,0.00031042,0.00031042,0.00031042
46,242.489,1.18583,1.54719,0.93043,0.09273,0.16071,0.14925,0.10674,1.37435,3.64328,1.03114,0.000311906,0.000311906,0.000311906
47,247.662,1.22825,1.85696,0.93112,0.66719,0.10827,0.16616,0.11812,1.38488,3.66127,1.04539,0.000313145,0.000313145,0.000313145
48,252.751,1.05644,1.59571,0.9205,0.66719,0.10827,0.16616,0.11812,1.38488,3.66127,1.04539,0.000314136,0.000314136,0.000314136
49,258.01,1.13944,1.39243,0.96284,0.65517,0.125,0.17614,0.12646,1.40358,3.69133,1.05923,0.00031488,0.00031488,0.00031488
50,263.163,1.26929,1.54624,0.96913,0.65517,0.125,0.17614,0.12646,1.40358,3.69133,1.05923,0.000315376,0.000315376,0.000315376
51,268.366,1.09234,1.55694,0.95689,0.65331,0.125,0.17251,0.11792,1.41016,3.71535,1.06874,0.000315625,0.000315625,0.000315625
52,273.662,1.29427,1.59221,0.98954,0.65331,0.125,0.17251,0.11792,1.41016,3.71535,1.06874,0.000315626,0.000315626,0.000315626
53,278.729,1.03093,1.43303,0.93048,0.65331,0.125,0.17251,0.11792,1.41016,3.71535,1.06874,0.00031538,0.00031538,0.00031538
54,284.222,1.21433,1.50662,0.94137,0.44428,0.12564,0.17086,0.11491,1.41125,3.69945,1.06753,0.000314886,0.000314886,0.000314886
55,289.567,1.08089,1.48603,0.91301,0.44428,0.12564,0.17086,0.11491,1.41125,3.69945,1.06753,0.000314145,0.000314145,0.000314145
56,294.865,1.13294,1.27346,0.93287,0.44428,0.12564,0.17086,0.11491,1.41125,3.69945,1.06753,0.000313156,0.000313156,0.000313156
57,300.094,1.20298,1.49069,0.93971,0.48831,0.13191,0.16793,0.11122,1.41636,3.66545,1.06782,0.00031192,0.00031192,0.00031192
58,305.379,1.0711,1.35998,0.91889,0.48831,0.13191,0.16793,0.11122,1.41636,3.66545,1.06782,0.000310436,0.000310436,0.000310436
59,310.509,1.17309,1.52382,0.93154,0.48831,0.13191,0.16793,0.11122,1.41636,3.66545,1.06782,0.000308705,0.000308705,0.000308705
60,315.908,1.19634,1.37537,0.96172,0.54277,0.15789,0.18448,0.12387,1.43836,3.61135,1.07628,0.000306726,0.000306726,0.000306726
