epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,147.54,1.11314,1.61079,0.94789,0.03929,0.43873,0.16357,0.11111,1.36157,3.55649,1.03405,0.000304476,0.000304476,0.000304476
43,151.049,1.06468,1.61654,0.94439,0.05069,0.50127,0.17095,0.11573,1.3601,3.50118,1.03562,0.000306705,0.000306705,0.000306705
44,154.378,1.06022,1.35208,0.93714,0.05069,0.50127,0.17095,0.11573,1.3601,3.50118,1.03562,0.000308686,0.000308686,0.000308686
45,157.692,1.12607,1.69295,0.97558,0.05853,0.50164,0.18929,0.1204,1.34672,3.43501,1.03503,0.00031042,0.00031042,0.00031042
46,161.132,1.18149,1.53788,0.9466,0.05853,0.50164,0.18929,0.1204,1.34672,3.43501,1.03503,0.000311906,0.000311906,0.000311906
47,164.624,1.1103,1.52988,0.9378,0.22902,0.17905,0.20803,0.1331,1.35144,3.37784,1.03782,0.000313145,0.000313145,0.000313145
48,168.277,1.15905,1.38238,0.94889,0.22902,0.17905,0.20803,0.1331,1.35144,3.37784,1.03782,0.000314136,0.000314136,0.000314136
49,171.846,1.18986,1.42513,0.9516,0.29749,0.13933,0.21661,0.14311,1.35273,3.32808,1.03582,0.00031488,0.00031488,0.00031488
50,175.505,1.15643,1.42356,0.94379,0.29749,0.13933,0.21661,0.14311,1.35273,3.32808,1.03582,0.000315376,0.000315376,0.000315376
51,178.885,1.1956,1.52753,0.96965,0.29655,0.13905,0.23951,0.15963,1.38148,3.27579,1.03774,0.000315625,0.000315625,0.000315625
52,182.189,1.04314,1.39631,0.95644,0.29655,0.13905,0.23951,0.15963,1.38148,3.27579,1.03774,0.000315626,0.000315626,0.000315626
53,185.734,1.12529,1.39907,0.92373,0.29655,0.13905,0.23951,0.15963,1.38148,3.27579,1.03774,0.00031538,0.00031538,0.00031538
54,189.174,1.03625,1.37367,0.92592,0.44117,0.17357,0.25268,0.16758,1.3864,3.20018,1.03404,0.000314886,0.000314886,0.000314886
55,192.648,1.13586,1.19974,0.93295,0.44117,0.17357,0.25268,0.16758,1.3864,3.20018,1.03404,0.000314145,0.000314145,0.000314145
56,196.159,1.08127,1.22199,0.92924,0.44117,0.17357,0.25268,0.16758,1.3864,3.20018,1.03404,0.000313156,0.000313156,0.000313156
57,199.74,1.21487,1.37968,0.94677,0.49612,0.21702,0.28284,0.19879,1.39235,3.16392,1.0345,0.00031192,0.00031192,0.00031192
58,203.325,1.14392,1.23952,0.94175,0.49612,0.21702,0.28284,0.19879,1.39235,3.16392,1.0345,0.000310436,0.000310436,0.000310436
59,206.784,1.07314,1.3085,0.94077,0.49612,0.21702,0.28284,0.19879,1.39235,3.16392,1.0345,0.000308705,0.000308705,0.000308705
60,210.299,1.12314,1.31689,0.92928,0.48168,0.20814,0.2896,0.20573,1.38099,3.1528,1.03625,0.000306726,0.000306726,0.000306726
61,213.582,0.97826,1.56093,0.9572,0.48168,0.20814,0.2896,0.20573,1.38099,3.1528,1.03625,0.0003045,0.0003045,0.0003045
62,217.724,1.08508,1.31121,0.91869,0.48168,0.20814,0.2896,0.20573,1.38099,3.1528,1.03625,0.000302026,0.000302026,0.000302026
63,221.863,0.92795,1.01004,0.88915,0.51419,0.22587,0.2949,0.20906,1.36648,3.13331,1.03397,0.000299305,0.000299305,0.000299305
64,226.061,1.08348,1.33301,0.93493,0.51419,0.22587,0.2949,0.20906,1.36648,3.13331,1.03397,0.000296336,0.000296336,0.000296336
65,230.044,1.05608,1.14655,0.89619,0.51419,0.22587,0.2949,0.20906,1.36648,3.13331,1.03397,0.00029312,0.00029312,0.00029312
66,233.716,1.10765,1.138,0.93719,0.51206,0.25759,0.29384,0.20874,1.35777,3.09691,1.03904,0.000289656,0.000289656,0.000289656
67,237.69,1.03247,1.14853,0.92027,0.51206,0.25759,0.29384,0.20874,1.35777,3.09691,1.03904,0.000285945,0.000285945,0.000285945
68,241.385,1.00015,1.07874,0.92192,0.51206,0.25759,0.29384,0.20874,1.35777,3.09691,1.03904,0.000281986,0.000281986,0.000281986
69,244.908,1.06769,1.15494,0.93437,0.46428,0.28921,0.28379,0.19539,1.35788,3.05242,1.04158,0.00027778,0.00027778,0.00027778
